iter	Logloss
0	0.6462781525
1	0.6087452698
2	0.5789588165
3	0.5504167938
4	0.5287129974
5	0.5041792297
6	0.4840906525
7	0.4683893967
8	0.4523083878
9	0.4395553589
10	0.4291085052
11	0.4182358932
12	0.4092281342
13	0.4014485168
14	0.3950164032
15	0.388379631
16	0.3823262405
17	0.3762230682
18	0.3703390503
19	0.3651328278
20	0.362228508
21	0.3576621246
22	0.353152771
23	0.3480674744
24	0.3447105789
25	0.3421471405
26	0.3393735123
27	0.3357479858
28	0.3316807556
29	0.3280252838
30	0.3252442932
31	0.3219965363
32	0.3188911438
33	0.315929966
34	0.3125784874
35	0.3094363022
36	0.3065966225
37	0.3037334442
38	0.3014118004
39	0.299259758
40	0.296425972
41	0.2947601318
42	0.292857132
43	0.2906668282
44	0.2888492584
45	0.2869295692
46	0.2842937469
47	0.2817453003
48	0.2792716217
49	0.2768564606
50	0.2756580162
51	0.2742498398
52	0.2720267105
53	0.2701305008
54	0.2693000412
55	0.2681077003
56	0.2665427017
57	0.2642589569
58	0.2627272034
59	0.2615294266
60	0.2600918388
61	0.2590534592
62	0.2571996689
63	0.2561450958
64	0.2550227356
65	0.2533785248
66	0.2525391769
67	0.250945015
68	0.2490189743
69	0.2478781128
70	0.2467831421
71	0.2455623627
72	0.2445438004
73	0.2429013443
74	0.2416718292
75	0.2399431992
76	0.238408432
77	0.2369725418
78	0.2354092979
79	0.2340535736
80	0.2327212524
81	0.2313102722
82	0.2303808022
83	0.2296160698
84	0.2287789917
85	0.2281263351
86	0.227247715
87	0.2257525635
88	0.2247546387
89	0.2239860344
90	0.2229891968
91	0.2220056534
92	0.2209254074
93	0.219782753
94	0.2183668137
95	0.2177059746
96	0.2164447021
97	0.2157280731
98	0.2149466515
99	0.2139289093
100	0.2129826736
101	0.2120985031
102	0.2110155106
103	0.2102981949
104	0.2092949677
105	0.2080628204
106	0.207219677
107	0.2062075043
108	0.2055561447
109	0.2046994591
110	0.2040641785
111	0.2028880692
112	0.2018429565
113	0.2009339523
114	0.2001412392
115	0.1985622597
116	0.1974917412
117	0.1963955307
118	0.1953699493
119	0.1943945694
120	0.1931606102
121	0.1923009491
122	0.1918229294
123	0.1909292984
124	0.1899793625
125	0.1891933823
126	0.1883205414
127	0.1874104309
128	0.1860199738
129	0.1852309418
130	0.1843828583
131	0.1838714981
132	0.1831816483
133	0.1821365356
134	0.1814257431
135	0.1806846237
136	0.1800530243
137	0.1791534042
138	0.1783653831
139	0.1779675293
140	0.176869297
141	0.1760733795
142	0.1754283333
143	0.1747933197
144	0.1741835785
145	0.1731255722
146	0.1722540665
147	0.1715223122
148	0.1709540558
149	0.1702876472
150	0.1694531631
151	0.1690924835
152	0.1683478737
153	0.1673830605
154	0.1665544891
155	0.1658930969
156	0.1651324463
157	0.1642789459
158	0.1636270523
159	0.1628075027
160	0.161989975
161	0.1610601807
162	0.1602420807
163	0.1597756767
164	0.1584706402
165	0.1579071617
166	0.1572885132
167	0.156544466
168	0.1559451294
169	0.1551762104
170	0.1541217613
171	0.1537252045
172	0.152802887
173	0.1521863747
174	0.1514676666
175	0.1510420418
176	0.1503001976
177	0.1494272614
178	0.1483029652
179	0.1477073765
180	0.1470601654
181	0.1465826893
182	0.145563097
183	0.1448688698
184	0.144181757
185	0.1435059738
186	0.142495575
187	0.1419002342
188	0.1414134026
189	0.1404623032
190	0.1400433159
191	0.1395227909
192	0.1387852764
193	0.138296814
194	0.1377513695
195	0.1367846298
196	0.1360660934
197	0.1358507729
198	0.1354247475
199	0.1345583534
200	0.1339950371
201	0.133545475
202	0.1332013607
203	0.132844696
204	0.1325015926
205	0.132068243
206	0.1314313602
207	0.1309937954
208	0.1301600647
209	0.1297149658
210	0.1289390278
211	0.1282748985
212	0.1279407883
213	0.1274897957
214	0.1269195652
215	0.1263148308
216	0.125747757
217	0.1251375961
218	0.124362812
219	0.1237645435
220	0.1233844566
221	0.1230245399
222	0.1223793983
223	0.1218967819
224	0.1216198444
225	0.1210707283
226	0.1205113029
227	0.1201702499
228	0.1195700359
229	0.1191836166
230	0.1185185242
231	0.1180420494
232	0.1176591015
233	0.1173799896
234	0.1170057297
235	0.1165041447
236	0.1158222389
237	0.1155566788
238	0.1149106884
239	0.1145168686
240	0.113993578
241	0.1136201096
242	0.1130208874
243	0.1126159477
244	0.1122159195
245	0.1117558479
246	0.1114366341
247	0.1110745716
248	0.1108204174
249	0.1105691338
250	0.1101510525
251	0.1096294975
252	0.1091373634
253	0.1085854912
254	0.1079423141
255	0.1074940491
256	0.1071605873
257	0.1067926788
258	0.1064663029
259	0.106047287
