iter	Passed	Remaining
0	141	36776
1	148	19198
2	156	13365
3	161	10349
4	166	8510
5	171	7264
6	175	6346
7	181	5713
8	187	5231
9	191	4792
10	196	4457
11	200	4145
12	203	3869
13	206	3629
14	209	3413
15	211	3227
16	213	3058
17	216	2905
18	218	2766
19	220	2644
20	222	2529
21	224	2427
22	226	2331
23	228	2248
24	231	2175
25	233	2104
26	235	2036
27	238	1979
28	241	1920
29	243	1865
30	245	1813
31	248	1767
32	250	1723
33	252	1678
34	254	1637
35	257	1599
36	259	1563
37	261	1527
38	263	1492
39	265	1458
40	267	1426
41	269	1396
42	271	1369
43	273	1343
44	276	1319
45	278	1294
46	280	1270
47	282	1247
48	284	1225
49	286	1203
50	288	1182
51	290	1162
52	293	1145
53	295	1128
54	297	1110
55	300	1093
56	302	1078
57	304	1061
58	307	1046
59	309	1030
60	311	1014
61	312	999
62	315	985
63	317	972
64	319	958
65	321	945
66	323	932
67	326	920
68	328	908
69	330	896
70	332	885
71	334	873
72	336	862
73	339	852
74	341	842
75	344	833
76	346	823
77	348	813
78	350	803
79	353	794
80	355	784
81	357	775
82	359	766
83	361	757
84	363	748
85	365	739
86	367	730
87	369	721
88	371	713
89	373	705
90	375	696
91	377	689
92	379	681
93	381	674
94	383	666
95	386	659
96	388	652
97	391	646
98	393	639
99	394	631
100	396	624
101	399	618
102	401	611
103	403	604
104	406	599
105	408	593
106	410	587
107	412	581
108	414	574
109	417	568
110	419	562
111	422	558
112	425	553
113	427	547
114	430	542
115	432	536
116	434	530
117	436	525
118	438	519
119	441	514
120	443	509
121	445	503
122	447	498
123	449	492
124	451	487
125	454	482
126	456	477
127	458	472
128	460	467
129	461	461
130	463	456
131	466	451
132	468	447
133	470	442
134	472	437
135	474	432
136	476	428
137	479	423
138	481	418
139	483	414
140	485	409
141	487	405
142	489	400
143	491	396
144	493	391
145	495	387
146	498	382
147	500	378
148	502	374
149	504	369
150	506	365
151	508	361
152	510	357
153	513	353
154	515	348
155	517	344
156	519	340
157	521	336
158	523	332
159	525	328
160	527	324
161	529	320
162	532	316
163	534	313
164	537	309
165	539	305
166	542	301
167	544	298
168	546	294
169	549	290
170	551	286
171	553	283
172	555	279
173	557	275
174	560	272
175	563	268
176	565	265
177	567	261
178	569	257
179	572	254
180	574	250
181	576	247
182	578	243
183	581	240
184	583	236
185	585	233
186	588	229
187	589	225
188	592	222
189	593	218
190	596	215
191	598	211
192	600	208
193	602	205
194	605	201
195	607	198
196	609	194
197	611	191
198	613	188
199	615	184
200	617	181
201	619	177
202	622	174
203	624	171
204	626	167
205	628	164
206	630	161
207	632	158
208	635	154
209	637	151
210	640	148
211	645	146
212	647	142
213	649	139
214	652	136
215	654	133
216	656	130
217	658	126
218	660	123
219	663	120
220	665	117
221	667	114
222	669	111
223	672	108
224	674	104
225	677	101
226	679	98
227	682	95
228	684	92
229	687	89
230	688	86
231	691	83
232	693	80
233	695	77
234	697	74
235	699	71
236	701	68
237	703	65
238	705	62
239	707	58
240	709	55
241	711	52
242	713	49
243	715	46
244	717	43
245	719	40
246	721	37
247	724	35
248	726	32
249	729	29
250	732	26
251	734	23
252	736	20
253	739	17
254	741	14
255	743	11
256	745	8
257	747	5
258	749	2
259	751	0
