gpa,attendance,study_hours,math_score,science_score,english_score,assignment_score,sleep_hours,parental_education,extracurricular,result
3.37,89.78,7.66,61.88,69.15,80.45,63.85,7.46,2,0,1
2.43,64.02,4.07,38.32,92.84,79.79,51.52,8.27,2,1,1
3.6,96.94,9.02,69.84,49.46,44.19,30.63,8.06,3,0,1
3.15,77.3,2.91,40.95,31.82,32.57,99.32,5.45,1,0,1
1.46,42.53,5.88,34.27,84.3,51.27,38.11,4.24,3,0,0
3.93,92.53,2.34,64.91,79.17,41.0,44.15,9.0,0,0,1
3.33,66.8,5.45,75.88,68.18,57.71,42.69,9.23,3,0,1
3.4,44.21,2.02,89.79,87.07,98.55,93.1,9.87,0,1,1
1.56,44.92,2.12,84.8,88.81,42.67,82.28,9.76,3,1,1
2.46,79.69,6.62,90.01,71.15,52.32,59.3,7.8,0,1,1
2.24,38.08,3.14,83.2,97.61,80.76,96.66,9.37,3,0,1
3.79,53.63,2.22,79.23,80.38,65.64,28.96,6.69,3,0,1
3.0,44.09,9.8,30.71,77.38,33.07,92.03,8.72,3,1,1
3.5,63.67,0.93,73.83,55.3,41.32,29.53,9.73,3,1,1
2.44,61.93,6.15,38.43,30.16,95.47,54.33,8.78,1,1,1
1.84,68.92,5.98,34.11,46.87,37.22,29.05,6.49,0,0,1
2.75,53.18,3.01,40.95,83.47,74.46,99.92,6.27,3,0,1
1.38,37.08,5.03,87.63,79.69,85.46,93.58,5.75,2,1,1
3.52,74.94,1.38,82.07,53.17,48.58,68.86,6.2,3,0,1
2.97,59.29,7.71,96.41,73.79,80.76,41.34,8.92,2,0,1
3.32,77.34,2.72,98.53,43.67,41.89,45.76,8.21,2,0,1
2.19,42.06,2.43,92.53,48.45,49.93,58.72,5.5,1,0,0
3.92,35.9,3.65,39.3,96.32,51.83,49.21,8.27,1,1,1
3.7,51.14,9.52,91.49,58.92,99.75,26.6,6.28,1,0,1
3.38,64.68,8.46,88.7,47.15,45.02,74.22,7.35,2,1,1
1.74,60.61,9.97,90.98,64.1,39.04,71.01,6.22,2,1,1
2.51,87.67,7.02,40.62,57.09,94.8,92.82,7.13,0,0,1
1.32,59.56,7.13,38.18,81.07,41.34,60.76,8.38,0,1,1
1.63,69.48,5.3,94.67,97.35,91.55,50.85,8.39,0,0,1
3.11,73.58,9.55,42.17,71.42,75.53,63.36,8.52,2,1,1
3.29,36.42,5.61,55.8,71.38,70.38,39.6,6.35,2,1,1
3.91,68.48,4.05,61.92,55.54,82.59,71.92,8.14,0,0,1
2.11,57.41,6.9,38.71,69.52,80.82,82.75,5.43,2,1,1
2.24,62.38,5.96,31.44,52.35,37.74,36.51,6.86,0,1,0
2.51,41.52,1.74,99.59,30.08,99.96,48.88,7.5,3,1,1
1.73,85.88,4.43,91.37,90.63,95.93,90.09,8.12,2,0,1
1.56,96.26,3.63,93.86,60.06,92.76,62.91,9.47,2,1,1
2.53,36.45,8.97,49.92,64.45,73.56,64.89,5.83,2,1,1
1.84,74.09,4.29,45.41,35.85,66.6,79.18,9.07,1,1,0
3.08,84.65,8.72,59.81,88.6,67.54,68.34,5.87,3,0,1
2.42,53.51,4.92,61.73,41.92,31.05,30.22,7.31,2,0,1
3.53,86.19,8.04,30.39,58.74,64.96,85.3,8.97,0,1,1
3.16,76.1,1.85,84.55,88.82,73.66,94.21,8.34,3,1,1
2.07,95.4,9.75,99.77,62.04,76.11,29.0,9.18,2,0,1
3.53,98.77,5.31,67.01,95.18,53.25,34.09,8.89,1,0,1
3.45,37.75,3.1,57.18,44.65,62.99,77.65,5.66,3,0,1
2.28,63.92,2.91,57.49,80.07,74.54,70.34,9.96,0,0,1
2.01,70.55,3.15,36.73,98.46,59.98,53.69,9.62,2,1,1
3.11,44.54,4.17,48.63,68.47,97.35,65.44,6.58,2,1,1
1.59,56.86,7.68,65.15,78.45,79.38,77.75,4.28,3,0,1
1.76,99.2,10.0,60.23,57.53,30.09,62.84,5.82,2,1,1
1.22,36.05,7.19,68.15,82.59,31.63,35.51,9.02,3,0,0
3.4,64.41,5.97,89.43,93.62,78.32,31.71,9.71,1,0,0
3.06,89.77,4.99,45.77,79.21,58.89,57.91,8.99,3,1,1
3.17,56.05,8.78,31.94,95.52,88.76,94.22,6.38,0,0,1
3.39,66.19,9.0,32.68,71.21,42.11,66.83,4.34,3,0,1
2.48,98.57,3.43,39.39,70.4,30.97,51.87,7.11,3,0,1
2.79,65.87,10.03,69.93,51.32,57.17,93.15,6.26,2,1,1
1.59,43.51,4.45,86.57,79.67,81.52,54.15,4.74,0,1,0
1.52,38.36,8.5,92.08,91.74,98.02,63.19,4.64,1,1,1
3.07,96.45,10.17,74.46,75.24,91.86,33.74,4.92,0,1,1
2.52,52.28,7.54,58.22,46.31,63.89,80.31,5.23,3,1,1
2.78,67.76,2.12,40.82,68.09,86.9,77.52,8.52,1,0,1
3.34,40.9,6.36,58.1,82.92,34.92,84.57,6.29,3,0,1
2.98,62.54,1.69,53.27,95.76,70.06,49.39,6.62,3,1,1
2.75,95.46,8.39,90.9,40.96,94.7,57.7,7.59,0,1,1
2.77,67.66,3.31,64.07,38.92,57.75,37.63,9.76,3,0,0
2.05,98.12,7.45,45.83,58.91,97.21,97.34,8.54,1,1,1
1.29,51.82,9.6,50.22,38.79,45.45,31.46,7.87,0,0,1
2.42,67.8,2.31,39.55,98.63,37.39,73.68,8.46,1,0,1
1.8,90.87,4.43,94.3,59.7,66.73,77.89,8.32,2,0,0
2.34,64.14,6.97,33.52,67.35,93.51,36.83,8.14,3,1,1
3.59,53.17,4.7,30.9,45.9,51.79,52.4,6.98,2,0,0
1.86,90.61,2.25,42.81,61.44,86.01,28.23,7.4,0,1,1
1.36,60.34,0.79,86.76,98.93,41.84,66.75,6.77,1,0,0
1.99,69.5,4.57,66.64,64.21,82.19,99.62,6.37,1,0,0
2.02,98.47,6.99,73.81,30.62,68.99,57.24,5.62,2,1,1
3.05,47.12,6.24,55.04,46.98,42.25,99.25,6.13,2,0,1
2.76,54.59,2.06,34.81,98.49,80.27,34.47,6.57,0,1,1
3.39,37.02,5.01,89.93,99.23,79.96,54.43,7.48,0,1,1
3.06,60.47,4.19,43.43,44.73,66.08,92.65,7.0,0,0,1
2.34,48.01,3.24,32.31,73.07,45.78,90.75,4.65,3,0,0
3.48,79.2,7.79,70.09,35.38,39.26,49.27,6.04,2,1,1
1.67,46.79,3.6,35.83,70.42,97.01,75.9,6.26,1,1,0
1.26,78.86,5.9,36.7,38.81,75.91,91.46,8.24,3,1,1
1.45,52.13,9.73,86.03,87.31,86.65,82.52,6.0,0,0,1
3.22,58.09,5.89,64.41,95.77,78.79,72.14,4.05,0,1,1
2.49,57.68,6.67,46.91,42.11,88.06,36.44,4.51,1,0,0
1.65,81.59,1.23,54.4,62.39,41.37,30.48,6.98,0,0,0
2.6,65.32,2.28,81.05,37.14,64.79,71.1,5.13,3,1,1
1.63,58.48,1.51,34.64,53.74,76.7,62.52,6.97,3,0,0
3.15,90.42,8.15,38.15,34.56,37.24,42.85,7.45,2,1,1
2.45,72.18,8.86,73.14,48.52,40.5,46.96,9.6,3,1,1
2.27,48.9,2.36,72.49,99.32,74.38,54.41,7.93,1,0,1
2.04,93.51,2.69,98.07,33.12,90.81,62.16,4.19,0,1,0
2.96,57.27,3.73,56.22,90.13,76.23,54.27,6.28,1,1,1
2.21,37.53,6.41,34.56,35.42,32.53,54.05,8.76,0,0,0
1.45,67.15,6.72,67.63,67.03,97.93,33.68,5.56,3,0,1
1.53,43.06,7.37,74.68,61.65,39.77,89.92,9.55,2,1,1
3.89,50.5,9.55,39.77,95.21,46.28,70.69,7.17,3,0,1
3.74,83.56,3.45,68.7,43.93,98.25,35.96,4.55,1,0,1
3.16,43.5,7.09,43.84,42.58,83.97,56.79,5.45,2,1,1
1.94,87.45,6.1,89.13,82.41,95.56,56.25,9.44,1,1,1
3.91,95.9,3.56,88.46,80.8,86.46,70.05,9.95,1,0,1
3.38,74.42,9.57,60.07,78.94,75.62,70.67,9.18,2,1,1
3.21,81.17,1.45,97.67,31.83,49.92,73.39,5.92,3,1,1
2.46,81.38,7.62,98.58,48.2,52.88,77.34,8.61,2,0,1
1.96,99.53,7.78,39.05,88.79,96.31,32.75,5.33,2,0,1
